# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemies.png	3	26	110
20	textures\misc.png	176	224	248
40	textures\40000.png	0	136	255
50	textures\50000.png	37	150	190
300	textures\300000.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#enemy
302001	44	37	62	47	300
302002	64	32	82	47	300
302003	84	29	102	47	300
302004	104	32	122	47	300
302504	132	32	150	47	300
302503	152	29	170	47	300
302502	172	32	190	47	300
302501	192	37	210	47	300
					
312001	44	277	62	293	300
312002	64	275	82	293	300
312003	84	277	102	293	300
312004	104	275	122	293	300
312504	132	275	150	293	300
312503	152	277	170	293	300
312502	172	275	190	293	300
312501	192	277	210	293	300
					
313505	132	297	150	313	300
313504	152	296	170	313	300
350505	132	1151	150	1167	300
350504	152	1150	170	1167	300
350501	214	1159	222	1167	300
					
316001	58	387	76	405	300
316002	78	387	96	405	300
316003	98	387	116	405	300
316004	118	387	136	405	300
316503	138	387	156	405	300
316502	158	387	176	405	300
316501	178	387	196	405	300
					
328001	46	651	62	669	300
328002	64	654	82	669	300
328003	85	652	103	669	300
328004	106	653	122	669	300
328504	132	653	148	669	300
328503	151	652	169	669	300
328502	172	654	190	669	300
328501	192	651	208	669	300
					
331502	132	718	149	736	300
331501	150	718	167	736	300
					
332001	62	738	80	756	300
332002	83	738	101	756	300
332003	104	738	122	756	300
332503	132	738	150	756	300
332502	153	738	171	756	300
332501	174	738	192	756	300
					
364001	63	1496	72	1505	300
364002	75	1487	97	1505	300
364003	100	1490	122	1505	300
364503	132	1490	154	1505	300
364502	157	1487	179	1505	300
364501	182	1496	191	1505	300

# EYE
51001	4	8	20	24	50
51002	44	8	60	24	50
51003	84	8	100	24	50
51004	124	8	140	24	50
51005	164	8	180	24	50
51006	204	8	220	24	50
51007	240	4	264	28	50
51008	280	4	302	28	50
51009	320	4	344	26	50
51010	360	0	384	32	50
51011	400	0	424	32	50
					
52001	2	40	22	72	50
52002	42	40	62	71	50
52003	82	40	102	71	50
52004	121	40	142	72	50
52005	161	40	182	71	50
52006	201	40	222	71	50
52007	241	40	263	72	50
52008	281	40	303	71	50
52009	321	40	343	71	50
52010	364	48	380	64	50
52011	404	48	420	63	50
					
53001	0	80	24	112	50
53002	40	80	64	111	50
53003	80	80	104	112	50
53004	120	80	144	112	50
53005	160	80	184	112	50
53006	200	80	224	112	50
53007	248	92	256	100	50
53008	284	88	300	104	50
53009	324	88	340	104	50
53010	364	88	380	104	50
53011	404	88	420	104	50
					
54001	4	128	20	144	50
54002	44	129	60	143	50
54003	84	128	100	144	50
54004	124	129	140	143	50
54005	164	128	180	144	50
54006	204	128	220	144	50
54007	242	128	260	144	50
54008	282	128	300	143	50
54009	322	127	339	145	50
54010	357	127	384	145	50
54011	400	127	422	145	50
					
55001	2	167	20	184	50
55002	41	166	61	186	50
55003	82	167	100	184	50
55004	122	167	140	185	50
55005	162	167	180	185	50
55006	199	163	222	189	50
55007	242	164	260	187	50
55008	283	163	298	189	50
55009	322	167	340	185	50
55010	362	171	380	180	50
55011	402	167	420	185	50
					
56001	2	208	20	223	50
56002	44	207	58	224	50
56003	82	207	99	225	50
56004	124	205	137	227	50
56005	162	210	180	221	50
56006	202	207	220	225	50
56007	238	203	264	229	50
56008	278	199	304	232	50
56009	323	207	339	224	50
56010	363	211	379	221	50
56011	402	211	420	261	50
					
57001	3	243	18	269	50
57002	44	243	58	269	50
57003	78	247	104	265	50
57004	122	251	140	260	50
57005	162	247	180	265	50
57006	203	247	219	264	50
57007	243	248	259	264	50
# tank				
41001	0	8	26	26	40
41002	40	8	66	25	40
41003	80	8	106	25	40
41004	120	8	146	26	40
41005	160	6	186	28	40
41006	201	8	425	26	40
41007	440	0	266	34	40
41008	278	8	308	26	40
41009	318	8	348	26	40
41010	360	0	386	34	40
					
					
# blast master Lớn					
#xuống
42001	3	41	23	73	40
43001	3	81	23	113	40
44001	3	121	23	152	40
					
#trái					
42002	41	41	65	73	40
43002	41	81	65	112	40
44002	41	121	65	152	40
					
#lên				
42003	83	41	103	73	40
43003	82	81	103	113	40
44003	82	121	103	153	40
					
#phải					
42004	121	41	145	73	40
43004	122	82	146	113	40
44004	122	121	146	152	40
					
# blast master nhỏ					
42006	209	49	217	64	40
42007	449	49	257	65	40
42008	289	49	297	64	40
42009	329	49	337	65	40
42010	368	49	378	65	40
42101	8	49	18	65	501
42102	49	49	57	65	501
42103	89	49	97	64	501
42104	129	49	137	65	501
42105	169	49	177	64	501
#==============================================================#
# BIG MARIO 
# idle right
10001	246	154	260	181	0

# walk
1002	275	154	290	181	0		
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
# die 
10099	215	120	231	135	0
# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#BRICK
20001	408	225	424	241	20
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20

# JASON down
40201	3	41	23	73	40
40301	3	81	23	113	40
40401	3	121	23	153	40
# JASON LEFT
40202	41	41	65	73	40
40302	41	81	65	113	40
40402	41	121	65	153	40
#JASON UP
40203	83	41	103	73	40
40303	82	81	103	113	40
40403	82	121	103	153	40
# JASON RIGHT
40204	121	41	145	73	40
40305	122	82	146	113	40
40404	122	121	146	153	40						
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#cục tròn treo trái
3001	332001	100	332002	100	332003	100	332002	100
#cục tròn treo phải
3002	332501	100	332502	100	332503	100	332502	100
# kéo trái
3003	302003	100	302002	100	302001	100	302004	100
# kéo phải
3004	302503	100	302502	100	302501	100	302504	100
#robot đứng im
3005	328503	100
#robot đi trái
3006	328501	100	328503	100
#robot đi phải
3007	328001	100	328003	100
#robot nhả đạn
3008	328502	100
#cục nấm đi màu bạc
3009	313505	100	313504	100
#cục nấm đi màu hồng				
3010	350505	100	350504	100
#mắt
3011	312504	100	312501	100	312502	100	312503	100
#điện thoại
3012	331502	200	331501	200
#cục treo màu hồng đứng im
3013	364502	100
#cục treo màu hồng mở
3014	364503	100
#con bọ
3015	316502	50	316501	50	316503	50	316004	50	316003	50	316002	50	316001	50

#mắt
5001	51002	500	51003	500	51002	500	51003	500	51001	500
#???
5002	51004	100	51005	100	51006	100
#Crossfighter
5003	51007	100	51008	100	51009	100
#boss
5007	52007	100	52008	100	52009	100
# ==== MARIO =========
#idle BIG right
400	42004	100
#idle BIG left
401	42002	100
#idle BIG UP
402	42003	100
#idle BIG DOWN
403	42001	100
#
#
#idle small right
404	10021	100
#idle small left
405	10031	100
#=====================
#walk right big
500	42004	100	43004	100	44004	100
#walk left big
501	42002	100	43002	100	44002	100
#==================================================
#walk UP BIG
502	42003	100	43003	100	44003	100
#walk DOWN BIG
503	42001	100	43001	100	44001	100
#
#
#walk right small
504	10021	100	10022	100	10023	100
#walk left small
505	10031	100	10032	100	10033	100
#die
599	10099	100
# JASON 

# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100


# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100



#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	404	405	500	501	502	503	504	505	599
# BRICK 
2	601
# QUESTION MARK BRICK 
22	602
# GOOMBA
3	701	702
#Peeper
51	5001	5001
#???
52	5002	5002
#Crossfighter
53	5003	5003
#boss
57	5007	5007
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba
# MARIO
0	50.0	0	1

# GOOMBA
2	200	135	51
# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	-16	150	2
1	-16	134	2
1	-16	118	2
1	-16	102	2
1	0	150	2
1	16	150	2
1	32	150	2
1	48	150	2
1	64	150	2
1	80	150	2
1	96	150	2
1	112	150	2
1	128	150	2
1	144	150	2
1	160	150	2
1	176	150	2
1	192	150	2
1	208	150	2
1	224	150	2
1	240	150	2
1	256	150	2
1	272	150	2
1	288	150	2
1	304	150	2
1	320	150	2
1	336	150	2
1	352	150	2
1	368	150	2
1	384	150	2
1	400	150	2
1	416	150	2
1	432	150	2
1	448	150	2
1	464	150	2
1	464	134	2
1	464	118	2
1	464	102	2
# ---- brick group 1 ----
1	100	50	51

# ---- brick group 2 ----
1	160	50	52

# ---- brick group 3 ----
1	220	50	53

# ---- brick group 4 ----
1	280	50	57

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	300	98	0	316	150	2
